Time_s,Pressure,LowLimit,HighLimit,Motor1,Motor2,Cycle
4.062,66,64,144,235,235,0
4.117,65,64,144,235,235,0
4.172,64,64,144,235,235,0
4.228,65,64,144,235,235,0
4.282,66,64,144,235,235,0
4.337,67,64,144,235,235,0
4.392,66,64,144,235,235,0
4.448,68,64,144,235,235,0
4.503,69,64,144,235,235,0
4.558,70,64,144,235,235,0
4.613,70,64,144,235,235,0
4.668,71,64,144,235,235,0
4.723,73,64,144,235,235,0
4.779,75,64,144,235,235,0
4.834,77,64,144,235,235,0
4.889,80,64,144,235,235,0
4.944,80,64,144,235,235,0
5,81,64,144,235,235,0
5.054,85,64,144,235,235,0
5.109,87,64,144,235,235,0
5.165,90,64,144,235,235,0
5.22,92,64,144,235,235,0
5.275,94,64,144,235,235,0
5.33,97,64,144,235,235,0
5.386,100,64,144,235,235,0
5.44,101,64,144,235,235,0
5.495,104,64,144,235,235,0
5.551,107,64,144,235,235,0
5.606,111,64,144,235,235,0
5.661,115,64,144,235,235,0
5.716,119,64,144,235,235,0
5.772,121,64,144,235,235,0
5.827,124,64,144,235,235,0
5.882,127,64,144,235,235,0
5.937,129,64,144,235,235,0
5.992,128,64,144,235,235,0
6.047,132,64,144,235,235,0
6.103,133,64,144,235,235,0
6.158,136,64,144,235,235,0
6.213,140,64,144,235,235,0
6.268,142,64,144,235,235,0
6.324,144,64,144,235,235,0
6.379,145,64,144,-235,-235,0
6.433,138,64,144,-235,-235,0
6.489,132,64,144,-235,-235,0
6.544,122,64,144,-235,-235,0
6.599,117,64,144,-235,-235,0
6.654,112,64,144,-235,-235,0
6.71,105,64,144,-235,-235,0
6.765,102,64,144,-235,-235,0
6.82,97,64,144,-235,-235,0
6.876,93,64,144,-235,-235,0
6.931,91,64,144,-235,-235,0
6.985,89,64,144,-235,-235,0
7.041,86,64,144,-235,-235,0
7.096,84,64,144,-235,-235,0
7.151,84,64,144,-235,-235,0
7.206,83,64,144,-235,-235,0
7.262,81,64,144,-235,-235,0
7.317,81,64,144,-235,-235,0
7.371,80,64,144,-235,-235,0
7.427,79,64,144,-235,-235,0
7.482,76,64,144,-235,-235,0
7.537,75,64,144,-235,-235,0
7.592,75,64,144,-235,-235,0
7.648,73,64,144,-235,-235,0
7.703,72,64,144,-235,-235,0
7.757,69,64,144,-235,-235,0
7.813,67,64,144,-235,-235,0
7.868,68,64,144,-235,-235,0
7.923,68,64,144,-235,-235,0
7.979,65,64,144,235,235,1
8.034,66,64,144,235,235,1
8.089,68,64,144,235,235,1
8.143,67,64,144,235,235,1
8.193,66,64,144,235,235,1
8.248,68,64,144,235,235,1
8.302,67,64,144,235,235,1
8.357,66,64,144,235,235,1
8.413,66,64,144,235,235,1
8.468,67,64,144,235,235,1
8.523,67,64,144,235,235,1
8.579,68,64,144,235,235,1
8.634,68,64,144,235,235,1
8.688,70,64,144,235,235,1
8.743,72,64,144,235,235,1
8.799,71,64,144,235,235,1
8.854,75,64,144,235,235,1
8.909,78,64,144,235,235,1
8.965,79,64,144,235,235,1
9.019,81,64,144,235,235,1
9.074,84,64,144,235,235,1
9.129,88,64,144,235,235,1
9.185,89,64,144,235,235,1
9.24,92,64,144,235,235,1
9.295,96,64,144,235,235,1
9.351,99,64,144,235,235,1
9.405,100,64,144,235,235,1
9.46,103,64,144,235,235,1
9.516,107,64,144,235,235,1
9.571,109,64,144,235,235,1
9.626,113,64,144,235,235,1
9.681,115,64,144,235,235,1
9.737,117,64,144,235,235,1
9.792,120,64,144,235,235,1
9.847,124,64,144,235,235,1
9.902,125,64,144,235,235,1
9.957,128,64,144,235,235,1
10.012,132,64,144,235,235,1
10.067,134,64,144,235,235,1
10.117,135,64,144,235,235,1
10.171,139,64,144,235,235,1
10.226,139,64,144,235,235,1
10.281,141,64,144,235,235,1
10.331,145,64,144,-235,-235,1
10.386,140,64,144,-235,-235,1
10.441,130,64,144,-235,-235,1
10.497,124,64,144,-235,-235,1
10.552,119,64,144,-235,-235,1
10.606,112,64,144,-235,-235,1
10.661,107,64,144,-235,-235,1
10.711,104,64,144,-235,-235,1
